brand, generic, category
abilify, aripiprazole, antipsychotic
adderall, amphetamine + dextroamphetamine, adhd (c-ii)
adipex, phentermine, appetite suppressant (c-iv)
aricept, donepezil, anti-alzheimers
benicar, olmesartan, antihypertensive (ARB)
cataflam, diclofenac, analgesic (nsaid)
zestoretic, lisinopril + hctz, antihypertensive diuretic combo
cleocin, clindamycin, antimicrobial
flagyl, metronidazole, antimicrobial
glucotrol, glipizide, antidiabetic
lamictal, lamotrigine, anticonvulsant
levoxyl, levothyroxine, thyroid hormone replacement therapy
lopid, gemfibrozil, cholesterol lowering
lotensin, benazepril, antihypertensive
ortho tri cyclen, ethinyl estradiol + norgestimate, birth control
reglan, metoclopramide, GI motility stimulant
risperdal, risperidone, antipsychotic
spiriva, tiotropium, reduces mucus secretion/ bronchodilator
verelan, verapamil, anti-arrhythmia
vistaril, hydroxyzine, antihistamine